allDay,clientId,clientName,createdAt,date,description,endTime,endTimeInMillis,endTimeInMillisUTC,id,isClientAddress,jobId,lang,period,reminder,scheduleType,time,timeInMillis,timeInMillisUTC,type,type_client_created,type_client_date,type_client_updated,type_created,type_date,type_job_created,type_job_date,type_job_updated,type_updated,updatedAt,remindAt,notes
false,-MMfDNhtu1q46lStAMjm,Edificios Ilhas de Syros e Andros,1722867302772,06/08/2024,Visita técnica,11:00,1722952800000,1722942000000,-O3Xt9ReV8lNpIY2JnYR,true,-O3XssyGlHPqcBnisEoX,pt,personalized,true,technicalVisit,08:30,1722943800000,1722933000000,0,0_-MMfDNhtu1q46lStAMjm_1722867302772,0_-MMfDNhtu1q46lStAMjm_202408060830,0_-MMfDNhtu1q46lStAMjm_1722867302772,0_1722867302772,0_202408060830,0_-O3XssyGlHPqcBnisEoX_1722867302772,0_-O3XssyGlHPqcBnisEoX_202408060830,0_-O3XssyGlHPqcBnisEoX_1722867302772,0_1722867302772,1722867302772
false,-O3IzyZ1AFCcPu9vVigj,Condomínio Do Edf. Praça Dos Cedros,1726933684427,23/09/2024,Visita técnica,12:00,1727103600000,1727092800000,-O7KG0rbD2wQqTOq-9le,true,-O7KFqOkYj9CUA8dw6Bk,pt,morning,false,technicalVisit,09:00,1727092800000,1727082000000,0,0_-O3IzyZ1AFCcPu9vVigj_1726933684427,0_-O3IzyZ1AFCcPu9vVigj_202409230900,0_-O3IzyZ1AFCcPu9vVigj_1726933684427,0_1726933684427,0_202409230900,0_-O7KFqOkYj9CUA8dw6Bk_1726933684427,0_-O7KFqOkYj9CUA8dw6Bk_202409230900,0_-O7KFqOkYj9CUA8dw6Bk_1726933684427,0_1726933684427,1726933684427
false,-N3PYFZDlubs3jfjBvaI,Edf Gordon Paterson,1727281979362,01/10/2024,Visita técnica,18:00,1727816400000,1727805600000,-O7e0out6YvyZbITxu1h,true,-O7e0hactArMp_bxV5fy,pt,afternoon,true,technicalVisit,13:00,1727798400000,1727787600000,0,0_-N3PYFZDlubs3jfjBvaI_1727281979362,0_-N3PYFZDlubs3jfjBvaI_202410011300,0_-N3PYFZDlubs3jfjBvaI_1727782414630,0_1727281979362,0_202410011300,0_-O7e0hactArMp_bxV5fy_1727281979362,0_-O7e0hactArMp_bxV5fy_202410011300,0_-O7e0hactArMp_bxV5fy_1727782414630,0_1727782414630,1727782414630
false,-MMfDNhtu1q46lStAMjm,Edificios Ilhas de Syros e Andros,1728334821039,08/10/2024,Visita técnica,12:00,1728399600000,1728388800000,-O8cm4SrDFeOMtyTQVWQ,true,-O8clzDSWUGnWWDjORIS,pt,morning,false,technicalVisit,09:00,1728388800000,1728378000000,0,0_-MMfDNhtu1q46lStAMjm_1728334821039,0_-MMfDNhtu1q46lStAMjm_202410080900,0_-MMfDNhtu1q46lStAMjm_1728334821039,0_1728334821039,0_202410080900,0_-O8clzDSWUGnWWDjORIS_1728334821039,0_-O8clzDSWUGnWWDjORIS_202410080900,0_-O8clzDSWUGnWWDjORIS_1728334821039,0_1728334821039,1728334821039
false,-MMfDNhtu1q46lStAMjm,Edificios Ilhas de Syros e Andros,1728334946752,08/10/2024,Compromisso,12:00,1728399600000,1728388800000,-O8cmV3PQ5n-McUkKQBT,true,-O8clzDSWUGnWWDjORIS,pt,morning,true,appointment,09:00,1728388800000,1728378000000,0,0_-MMfDNhtu1q46lStAMjm_1728334946752,0_-MMfDNhtu1q46lStAMjm_202410080900,0_-MMfDNhtu1q46lStAMjm_1728334946752,0_1728334946752,0_202410080900,0_-O8clzDSWUGnWWDjORIS_1728334946752,0_-O8clzDSWUGnWWDjORIS_202410080900,0_-O8clzDSWUGnWWDjORIS_1728334946752,0_1728334946752,1728334946752,1d
false,-O3IzyZ1AFCcPu9vVigj,Condomínio Do Edf. Praça Dos Cedros,1728335044919,11/10/2024,Visita técnica,12:00,1728658800000,1728648000000,-O8cmxJHtwEkoyhKD3E1,true,-O8cmqhqhZ5_cY57AvEA,pt,morning,true,technicalVisit,09:00,1728648000000,1728637200000,0,0_-O3IzyZ1AFCcPu9vVigj_1728335044919,0_-O3IzyZ1AFCcPu9vVigj_202410110900,0_-O3IzyZ1AFCcPu9vVigj_1728335044919,0_1728335044919,0_202410110900,0_-O8cmqhqhZ5_cY57AvEA_1728335044919,0_-O8cmqhqhZ5_cY57AvEA_202410110900,0_-O8cmqhqhZ5_cY57AvEA_1728335044919,0_1728335044919,1728335044919,1d
false,-MMfDNhtu1q46lStAMjm,Edificios Ilhas de Syros e Andros,1729864736221,25/10/2024,Compromisso,12:00,1729868400000,1729857600000,-OA2xtBxEwbk2J9UzS98,true,-O8cnH6rfe3rVqDfcmpM,pt,morning,false,appointment,09:00,1729857600000,1729846800000,1,1_-MMfDNhtu1q46lStAMjm_1729864736221,1_-MMfDNhtu1q46lStAMjm_202410250900,1_-MMfDNhtu1q46lStAMjm_1729864736221,1_1729864736221,1_202410250900,1_-O8cnH6rfe3rVqDfcmpM_1729864736221,1_-O8cnH6rfe3rVqDfcmpM_202410250900,1_-O8cnH6rfe3rVqDfcmpM_1729864736221,1_1729864736221,1729864736221,
false,-MMfDNhtu1q46lStAMjm,Edificios Ilhas de Syros e Andros,1738678014341,05/02/2025,Visita técnica,18:00,1738789200000,1738778400000,-OIGHFDczP1sxtkWM7dO,true,-OIGGjt7uupjxq_fQUTd,pt,afternoon,true,technicalVisit,13:00,1738771200000,1738760400000,0,0_-MMfDNhtu1q46lStAMjm_1738678014341,0_-MMfDNhtu1q46lStAMjm_202502051300,0_-MMfDNhtu1q46lStAMjm_1738678014341,0_1738678014341,0_202502051300,0_-OIGGjt7uupjxq_fQUTd_1738678014341,0_-OIGGjt7uupjxq_fQUTd_202502051300,0_-OIGGjt7uupjxq_fQUTd_1738678014341,0_1738678014341,1738678014341,1d
false,-O3IzyZ1AFCcPu9vVigj,Condomínio Do Edf. Praça Dos Cedros,1740402309084,25/02/2025,Visita técnica,15:00,1740506400000,1740495600000,-OJs2qrOH6qqIzIb6S8P,true,-OJs2U_mi18uFzdTQt0D,pt,personalized,false,technicalVisit,13:30,1740501000000,1740490200000,0,0_-O3IzyZ1AFCcPu9vVigj_1740402309084,0_-O3IzyZ1AFCcPu9vVigj_202502251330,0_-O3IzyZ1AFCcPu9vVigj_1740402309084,0_1740402309084,0_202502251330,0_-OJs2U_mi18uFzdTQt0D_1740402309084,0_-OJs2U_mi18uFzdTQt0D_202502251330,0_-OJs2U_mi18uFzdTQt0D_1740402309084,0_1740402309084,1740402309084,,contato: Sra. Mariana
false,-LK3aA6A-P2Aab3wHt-7,Edf Consuelo Martins,1740412365255,25/02/2025,Visita técnica,10:00,1740488400000,1740477600000,-OJseGN1w7zGusmfmhsC,true,-OJse7u-OwPaE7_Hy7jW,pt,personalized,false,technicalVisit,08:30,1740483000000,1740472200000,0,0_-LK3aA6A-P2Aab3wHt-7_1740412365255,0_-LK3aA6A-P2Aab3wHt-7_202502250830,0_-LK3aA6A-P2Aab3wHt-7_1740412365255,0_1740412365255,0_202502250830,0_-OJse7u-OwPaE7_Hy7jW_1740412365255,0_-OJse7u-OwPaE7_Hy7jW_202502250830,0_-OJse7u-OwPaE7_Hy7jW_1740412365255,0_1740412365255,1740412365255,,
