id,description,details,image,currency,cost,margin,markup,unitPrice,unitType,trademark,barcode,internalCode
-LM3cC06oDK2ksRzwlBz,Curva,,,,,,,,un,,,
-LM3cXSPCcj0Q6kJSbfu,Eletroduto de 1/2,,,,,,,,un,,,
-LM3ciEGnyGnm0UjM8Pm,Caixa 4/2 sistema x,,,,,,,,un,,,
-LM3cpVoJxO6uOWIwBuP,Luva de 1/2,,,,,,,,un,,,
-MA24X3Ij4D8vWnOSp3Z,DVR 8CH MHDX 1208,,,BRL,"R$ 609,00",35%,"53,85%","R$ 936,92",UN,,,
-MA24sg_0Vkq9ToyL1Fb,CÂMERA INFRAVERMELHO HD 20M BULET,,,BRL,,,,"R$188,00",UN ,,,
-MA257Bz-N1K2wTwJZAK,FONTE ALIMENTAÇÃO 12V 10 Amp.,,,BRL,"R$145,00",25%,,"R$193,33",UN,INTELBRAS,,
-MA25a1b83VVf_XS7N3K,CABO COAXIAL 4MM BLINDADO + BIPOLAR 100M,,,BRL,"R$ 130,00",40%,"66,67%","R$ 216,67",PÇ,,,
-MA25kZvXubxbAbGBTIy,CONECTOR BNC MOLA ,,,BRL,"R$ 6,50",35%,"53,85%","R$ 10,00",UN,,,
-MA25qGHSExTrj0xDr-R,CONECTOR P4 MACHO ,,,BRL,"R$ 6,00","38,78%","63,33%","R$ 9,80",UN,,,
-MCCiA8CYZYnlS0aHB-w,CAMERA INFRAVERMELHO HD DOME ,,,BRL,"R$ 135,00",35%,"53,84%","R$ 207,69",UN,,,
-MI18C8umYLbOJofwKGP,Cabo coaxial RG6 com 90% malha Alum.,,,BRL,"R$ 3,00",60%,150%,"R$ 7,50",Metro,,,
-MI5beBVt8CDON8DVZ_d,Conector compressão RG6 inox,,,BRL,,,,"R$5,00",UN,,,
-MI5bsN7HJKKfFFgEw1t,BUCHA CLAMPS,,,BRL,"R$ 1,20",60%,150%,"R$ 3,00",UN,INTELBRAS ,,
-MI5d1H9_JoImumIzx07,Antena digital superlog 32 elementos.,,,BRL,,,,"R$ 130,00",UN,,,
-MI5esBWRoZaAYzy6YfP,Divisor sinal digital 1:2,,,BRL,,,,"R$12,00",UN,,,
-MI5f-YVAF8caQyq6qG5,Divisor sinal digital TV 1:3,,,BRL,,,,"R$15,00",UN,,,
-MIJkh2RVAzy35c0yITY,TERMINAL DE PORTARIA TP 2000,,,BRL,,,,"R$189,80",UN,,,
-MKAOaXmQr7mTanLpMRl,CABO COAXIAL 4MM BLINDADO + BIPOLAR ,,,BRL,"R$ 3,90",60%,150%,"R$ 9,75",Metro,,,
-MMpUO_IHepgtKZ-ZHZU,"Kit Central Eletrificadora com Controle Remoto, Sirene e Bateria 12V/7amp",,,BRL,"R$385,00",,,,UN,,,
-MS7u2-AgFh71v3R29J8,Aparelho Interfone,,,BRL,"R$ 50,00",35%,"53,84%","R$ 76,92",UN,Intelbras ,,
-MSVbp2NMqcqS_6Sl0UW,"CABO FLEXÍVEL 2,5MM BB100M 750V COBRE",,,BRL,"R$ 3,80",60%,150%,"R$ 9,50",METRO,SIL,,
-MSVcK777VIfhflli0jr,BUCHA NYLON + PARAFUSO SEXTAVADO 12MM CARTELA COM 4 UNID,,,BRL,"R$ 18,90",60%,150%,"R$ 47,25",KIT 02 PC,BENFIXA,,
